# HOMER Peaks
# Peak finding parameters:
# tag directory = tagDirs/SRR3401911
#
# total peaks = 49
# peak size = 67
# peaks found using tags on both strands
# minimum distance between peaks = 134
# fragment length = 66
# genome size = 1663013
# Total tags = 6324874.0
# Total tags in peaks = 241527.0
# Approximate IP efficiency = 3.82%
# tags per bp = 3.719284
# expected tags per peak = 249.192
# maximum tags considered per bp = 380.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 3.390509e-05
# FDR tag threshold = 315.0
# number of putative peaks = 1819
#
# input tag directory = tagDirs/SRR3401754
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 1742
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 28
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = bin/findPeaks tagDirs/SRR3401911 -i tagDirs/SRR3401754 -style factor -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
NC_011334.1-1	NC_011334.1	6051	6117	+	133435.1	0.505	36389.000000	47211.1	1144.0	41.27	0.00e+00	32.41	0.00e+00	0.17
NC_011334.1-2	NC_011334.1	15	81	+	19445.4	0.729	11732.000000	7089.4	327.0	21.68	0.00e+00	17.51	0.00e+00	0.47
NC_011333.1-1	NC_011333.1	1586509	1586575	+	18125.3	0.484	11327.000000	6414.3	250.0	25.66	0.00e+00	23.05	0.00e+00	0.18
NC_011333.1-2	NC_011333.1	1550158	1550224	+	13024.8	0.488	8254.000000	4717.1	229.0	20.60	0.00e+00	12.09	0.00e+00	0.57
NC_011333.1-3	NC_011333.1	654187	654253	+	12422.4	0.526	8059.000000	4420.7	644.0	6.86	0.00e+00	21.34	0.00e+00	0.49
NC_011333.1-5	NC_011333.1	1650316	1650382	+	9775.7	0.518	6355.000000	3554.8	443.0	8.02	0.00e+00	15.74	0.00e+00	0.55
NC_011333.1-6	NC_011333.1	109967	110033	+	8324.3	0.533	5386.000000	2961.8	507.0	5.84	0.00e+00	12.24	0.00e+00	0.57
NC_011333.1-7	NC_011333.1	1504156	1504222	+	7310.8	0.500	4697.000000	2612.8	494.0	5.29	0.00e+00	13.84	0.00e+00	0.54
NC_011333.1-8	NC_011333.1	79052	79118	+	6782.7	0.521	4482.000000	2415.3	234.0	10.32	0.00e+00	9.96	0.00e+00	0.52
NC_011333.1-12	NC_011333.1	641259	641325	+	6629.4	0.541	4193.000000	2351.6	233.0	10.09	0.00e+00	15.77	0.00e+00	0.65
NC_011333.1-11	NC_011333.1	46001	46067	+	6270.5	0.582	4289.000000	2223.5	549.0	4.05	0.00e+00	14.96	0.00e+00	0.60
NC_011333.1-13	NC_011333.1	954896	954962	+	6229.4	0.528	4013.000000	2244.2	352.0	6.38	0.00e+00	12.97	0.00e+00	0.62
